query_index,query_id,query_class,rank,candidate_id,candidate_class,precision,recall
361,2_1_s,2,1,2_4_s,2,1.0,0.034482758620689655
361,2_1_s,2,2,12_1_s,12,0.5,0.034482758620689655
361,2_1_s,2,3,7_7_s,7,0.3333333333333333,0.034482758620689655
361,2_1_s,2,4,3_19_s,3,0.25,0.034482758620689655
361,2_1_s,2,5,7_2_s,7,0.2,0.034482758620689655
361,2_1_s,2,6,3_5_s,3,0.16666666666666666,0.034482758620689655
361,2_1_s,2,7,8_7_s,8,0.14285714285714285,0.034482758620689655
361,2_1_s,2,8,18_16_s,18,0.125,0.034482758620689655
361,2_1_s,2,9,18_8_s,18,0.1111111111111111,0.034482758620689655
361,2_1_s,2,10,19_5_s,19,0.1,0.034482758620689655
361,2_1_s,2,11,4_21_s,4,0.09090909090909091,0.034482758620689655
361,2_1_s,2,12,3_26_s,3,0.08333333333333333,0.034482758620689655
361,2_1_s,2,13,17_19_s,17,0.07692307692307693,0.034482758620689655
361,2_1_s,2,14,11_23_s,11,0.07142857142857142,0.034482758620689655
361,2_1_s,2,15,7_13_s,7,0.06666666666666667,0.034482758620689655
53,11_2_s,11,1,15_12_s,15,0.0,0.0
53,11_2_s,11,2,17_15_s,17,0.0,0.0
53,11_2_s,11,3,16_3_s,16,0.0,0.0
53,11_2_s,11,4,3_28_s,3,0.0,0.0
53,11_2_s,11,5,12_3_s,12,0.0,0.0
53,11_2_s,11,6,17_12_s,17,0.0,0.0
53,11_2_s,11,7,18_17_s,18,0.0,0.0
53,11_2_s,11,8,4_1_s,4,0.0,0.0
53,11_2_s,11,9,18_13_s,18,0.0,0.0
53,11_2_s,11,10,19_12_s,19,0.0,0.0
53,11_2_s,11,11,20_7_s,20,0.0,0.0
53,11_2_s,11,12,4_22_s,4,0.0,0.0
53,11_2_s,11,13,14_29_s,14,0.0,0.0
53,11_2_s,11,14,17_18_s,17,0.0,0.0
53,11_2_s,11,15,19_1_s,19,0.0,0.0
537,8_16_s,8,1,8_27_s,8,1.0,0.034482758620689655
537,8_16_s,8,2,16_5_s,16,0.5,0.034482758620689655
537,8_16_s,8,3,14_22_s,14,0.3333333333333333,0.034482758620689655
537,8_16_s,8,4,15_19_s,15,0.25,0.034482758620689655
537,8_16_s,8,5,6_4_s,6,0.2,0.034482758620689655
537,8_16_s,8,6,5_13_s,5,0.16666666666666666,0.034482758620689655
537,8_16_s,8,7,13_3_s,13,0.14285714285714285,0.034482758620689655
537,8_16_s,8,8,15_21_s,15,0.125,0.034482758620689655
537,8_16_s,8,9,16_2_s,16,0.1111111111111111,0.034482758620689655
537,8_16_s,8,10,6_29_s,6,0.1,0.034482758620689655
537,8_16_s,8,11,15_20_s,15,0.09090909090909091,0.034482758620689655
537,8_16_s,8,12,8_12_s,8,0.16666666666666666,0.06896551724137931
537,8_16_s,8,13,4_13_s,4,0.15384615384615385,0.06896551724137931
537,8_16_s,8,14,8_15_s,8,0.21428571428571427,0.10344827586206896
537,8_16_s,8,15,8_28_s,8,0.26666666666666666,0.13793103448275862
423,4_21_s,4,1,17_19_s,17,0.0,0.0
423,4_21_s,4,2,11_23_s,11,0.0,0.0
423,4_21_s,4,3,7_13_s,7,0.0,0.0
423,4_21_s,4,4,3_19_s,3,0.0,0.0
423,4_21_s,4,5,16_14_s,16,0.0,0.0
423,4_21_s,4,6,17_17_s,17,0.0,0.0
423,4_21_s,4,7,18_8_s,18,0.0,0.0
423,4_21_s,4,8,19_5_s,19,0.0,0.0
423,4_21_s,4,9,7_7_s,7,0.0,0.0
423,4_21_s,4,10,8_7_s,8,0.0,0.0
423,4_21_s,4,11,17_20_s,17,0.0,0.0
