query_index,query_id,query_class,rank,candidate_id,candidate_class,precision,recall
378,2_7_s,2,1,2_25_s,2,1.0,0.034482758620689655
378,2_7_s,2,2,17_21_s,17,0.5,0.034482758620689655
378,2_7_s,2,3,17_17_s,17,0.3333333333333333,0.034482758620689655
378,2_7_s,2,4,17_6_s,17,0.25,0.034482758620689655
378,2_7_s,2,5,2_24_s,2,0.4,0.06896551724137931
378,2_7_s,2,6,15_17_s,15,0.3333333333333333,0.06896551724137931
378,2_7_s,2,7,17_19_s,17,0.2857142857142857,0.06896551724137931
378,2_7_s,2,8,2_26_s,2,0.375,0.10344827586206896
378,2_7_s,2,9,2_20_s,2,0.4444444444444444,0.13793103448275862
378,2_7_s,2,10,17_10_s,17,0.4,0.13793103448275862
378,2_7_s,2,11,17_15_s,17,0.36363636363636365,0.13793103448275862
378,2_7_s,2,12,19_1_s,19,0.3333333333333333,0.13793103448275862
378,2_7_s,2,13,2_15_s,2,0.38461538461538464,0.1724137931034483
378,2_7_s,2,14,4_22_s,4,0.35714285714285715,0.1724137931034483
378,2_7_s,2,15,3_28_s,3,0.3333333333333333,0.1724137931034483
378,2_7_s,2,16,2_6_s,2,0.375,0.20689655172413793
378,2_7_s,2,17,3_21_s,3,0.35294117647058826,0.20689655172413793
378,2_7_s,2,18,19_5_s,19,0.3333333333333333,0.20689655172413793
378,2_7_s,2,19,17_26_s,17,0.3157894736842105,0.20689655172413793
378,2_7_s,2,20,16_13_s,16,0.3,0.20689655172413793
353,2_12_s,2,1,7_27_s,7,0.0,0.0
353,2_12_s,2,2,19_26_s,19,0.0,0.0
353,2_12_s,2,3,7_7_s,7,0.0,0.0
353,2_12_s,2,4,19_21_s,19,0.0,0.0
353,2_12_s,2,5,16_22_s,16,0.0,0.0
353,2_12_s,2,6,19_25_s,19,0.0,0.0
353,2_12_s,2,7,6_15_s,6,0.0,0.0
353,2_12_s,2,8,19_22_s,19,0.0,0.0
353,2_12_s,2,9,19_17_s,19,0.0,0.0
353,2_12_s,2,10,14_13_s,14,0.0,0.0
353,2_12_s,2,11,19_13_s,19,0.0,0.0
353,2_12_s,2,12,8_26_s,8,0.0,0.0
353,2_12_s,2,13,14_11_s,14,0.0,0.0
353,2_12_s,2,14,14_16_s,14,0.0,0.0
353,2_12_s,2,15,19_10_s,19,0.0,0.0
353,2_12_s,2,16,16_27_s,16,0.0,0.0
353,2_12_s,2,17,6_2_s,6,0.0,0.0
353,2_12_s,2,18,7_16_s,7,0.0,0.0
353,2_12_s,2,19,5_21_s,5,0.0,0.0
353,2_12_s,2,20,5_12_s,5,0.0,0.0
574,9_22_s,9,1,9_17_s,9,1.0,0.034482758620689655
574,9_22_s,9,2,19_22_s,19,0.5,0.034482758620689655
574,9_22_s,9,3,10_26_s,10,0.3333333333333333,0.034482758620689655
574,9_22_s,9,4,14_11_s,14,0.25,0.034482758620689655
574,9_22_s,9,5,1_1_s,1,0.2,0.034482758620689655
574,9_22_s,9,6,9_28_s,9,0.3333333333333333,0.06896551724137931
574,9_22_s,9,7,1_6_s,1,0.2857142857142857,0.06896551724137931
574,9_22_s,9,8,12_19_s,12,0.25,0.06896551724137931
574,9_22_s,9,9,9_18_s,9,0.3333333333333333,0.10344827586206896
574,9_22_s,9,10,16_20_s,16,0.3,0.10344827586206896
574,9_22_s,9,11,14_7_s,14,0.2727272727272727,0.10344827586206896
574,9_22_s,9,12,19_21_s,19,0.25,0.10344827586206896
574,9_22_s,9,13,12_21_s,12,0.23076923076923078,0.10344827586206896
574,9_22_s,9,14,14_18_s,14,0.21428571428571427,0.10344827586206896
574,9_22_s,9,15,16_21_s,16,0.2,0.10344827586206896
574,9_22_s,9,16,19_25_s,19,0.1875,0.10344827586206896
574,9_22_s,9,17,20_11_s,20,0.17647058823529413,0.10344827586206896
574,9_22_s,9,18,14_16_s,14,0.16666666666666666,0.10344827586206896
574,9_22_s,9,19,19_13_s,19,0.15789473684210525,0.10344827586206896
574,9_22_s,9,20,1_5_s,1,0.15,0.10344827586206896
339,20_19_s,20,1,19_13_s,19,0.0,0.0
339,20_19_s,20,2,8_26_s,8,0.0,0.0
339,20_19_s,20,3,19_21_s,19,0.0,0.0
339,20_19_s,20,4,5_21_s,5,0.0,0.0
339,20_19_s,20,5,19_22_s,19,0.0,0.0
339,20_19_s,20,6,6_2_s,6,0.0,0.0
339,20_19_s,20,7,20_11_s,20,0.14285714285714285,0.05
339,20_19_s,20,8,14_16_s,14,0.125,0.05
339,20_19_s,20,9,19_25_s,19,0.1111111111111111,0.05
339,20_19_s,20,10,12_27_s,12,0.1,0.05
339,20_19_s,20,11,16_21_s,16,0.09090909090909091,0.05
339,20_19_s,20,12,16_27_s,16,0.08333333333333333,0.05
339,20_19_s,20,13,19_24_s,19,0.07692307692307693,0.05
339,20_19_s,20,14,19_17_s,19,0.07142857142857142,0.05
339,20_19_s,20,15,16_22_s,16,0.06666666666666667,0.05
339,20_19_s,20,16,14_11_s,14,0.0625,0.05
339,20_19_s,20,17,14_13_s,14,0.058823529411764705,0.05
339,20_19_s,20,18,8_28_s,8,0.05555555555555555,0.05
339,20_19_s,20,19,6_15_s,6,0.05263157894736842,0.05
339,20_19_s,20,20,10_3_s,10,0.05,0.05
257,18_26_s,18,1,14_13_s,14,0.0,0.0
257,18_26_s,18,2,8_7_s,8,0.0,0.0
257,18_26_s,18,3,19_22_s,19,0.0,0.0
257,18_26_s,18,4,19_13_s,19,0.0,0.0
257,18_26_s,18,5,6_2_s,6,0.0,0.0
257,18_26_s,18,6,5_21_s,5,0.0,0.0
257,18_26_s,18,7,16_21_s,16,0.0,0.0
257,18_26_s,18,8,19_21_s,19,0.0,0.0
257,18_26_s,18,9,16_27_s,16,0.0,0.0
257,18_26_s,18,10,14_16_s,14,0.0,0.0
257,18_26_s,18,11,16_22_s,16,0.0,0.0
257,18_26_s,18,12,13_7_s,13,0.0,0.0
257,18_26_s,18,13,10_26_s,10,0.0,0.0
257,18_26_s,18,14,19_25_s,19,0.0,0.0
257,18_26_s,18,15,14_11_s,14,0.0,0.0
257,18_26_s,18,16,14_27_s,14,0.0,0.0
257,18_26_s,18,17,12_27_s,12,0.0,0.0
257,18_26_s,18,18,20_11_s,20,0.0,0.0
257,18_26_s,18,19,8_8_s,8,0.0,0.0
257,18_26_s,18,20,6_14_s,6,0.0,0.0
190,16_1_s,16,1,12_1_s,12,0.0,0.0
190,16_1_s,16,2,14_13_s,14,0.0,0.0
190,16_1_s,16,3,7_7_s,7,0.0,0.0
190,16_1_s,16,4,8_25_s,8,0.0,0.0
190,16_1_s,16,5,15_23_s,15,0.0,0.0
190,16_1_s,16,6,19_13_s,19,0.0,0.0
190,16_1_s,16,7,16_21_s,16,0.14285714285714285,0.034482758620689655
190,16_1_s,16,8,8_7_s,8,0.125,0.034482758620689655
190,16_1_s,16,9,19_22_s,19,0.1111111111111111,0.034482758620689655
190,16_1_s,16,10,7_28_s,7,0.1,0.034482758620689655
190,16_1_s,16,11,19_21_s,19,0.09090909090909091,0.034482758620689655
190,16_1_s,16,12,14_16_s,14,0.08333333333333333,0.034482758620689655
190,16_1_s,16,13,9_6_s,9,0.07692307692307693,0.034482758620689655
190,16_1_s,16,14,8_26_s,8,0.07142857142857142,0.034482758620689655
190,16_1_s,16,15,16_22_s,16,0.13333333333333333,0.06896551724137931
190,16_1_s,16,16,13_7_s,13,0.125,0.06896551724137931
190,16_1_s,16,17,6_2_s,6,0.11764705882352941,0.06896551724137931
190,16_1_s,16,18,16_27_s,16,0.16666666666666666,0.10344827586206896
190,16_1_s,16,19,19_10_s,19,0.15789473684210525,0.10344827586206896
190,16_1_s,16,20,7_14_s,7,0.15,0.10344827586206896
170,15_23_s,15,1,8_28_s,8,0.0,0.0
170,15_23_s,15,2,16_22_s,16,0.0,0.0
170,15_23_s,15,3,8_26_s,8,0.0,0.0
170,15_23_s,15,4,19_21_s,19,0.0,0.0
